"Reference","Qty","Value","Footprint","Datasheet","Farnell Price/Stock","Farnell Part Number"
"C1,C2","2","100u","Capacitor_THT:CP_Radial_D10.0mm_P2.50mm_P5.00mm","~","",""
"D1","1","P6KE36A/B","Diode_THT:D_DO-201AE_P15.24mm_Horizontal","https://www.digikey.com/en/products/detail/yageo/P6KE36A-B/15856144","0.106","P6KE36A/B"
"D2,D3,D4","3","1N4002","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","https://www.digikey.com/en/products/detail/comchip-technology/1N4002-G/3307976",".047","1N4002-G"
"D5,D6,D7","3","LED","LED_THT:LED_D5.0mm","~","",""
"J1","1","Vin+","1287_250mil_Tab_P5.08:Faston_1287-250mils_P5.08mm","www.digikey.com/en/products/detail/keystone-electronics/1287/124268","0.08","1287"
"J2","1","Vin-","1287_250mil_Tab_P5.08:Faston_1287-250mils_P5.08mm","www.digikey.com/en/products/detail/keystone-electronics/1287/124268","0.08","1287"
"J3","1","Raspberry_Pi_4","Connector_PinSocket_2.54mm:PinSocket_2x20_P2.54mm_Vertical","https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/61304021821/16608657","1.76","61304021821"
"J4","1","DS18B20","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-03P_1x03_P5.00mm","https://www.digikey.com/en/products/detail/dcomponents/BLR513-5-V/27565851","0.424","BLR513-5-V"
"J5","1","Peltier1+","1287_250mil_Tab_P5.08:Faston_1287-250mils_P5.08mm","www.digikey.com/en/products/detail/keystone-electronics/1287/124268","0.08","1287"
"J6","1","Peltier1-","1287_250mil_Tab_P5.08:Faston_1287-250mils_P5.08mm","www.digikey.com/en/products/detail/keystone-electronics/1287/124268","0.08","1287"
"J7","1","Peltier2+","1287_250mil_Tab_P5.08:Faston_1287-250mils_P5.08mm","www.digikey.com/en/products/detail/keystone-electronics/1287/124268","0.08","1287"
"J8","1","Peltier2-","1287_250mil_Tab_P5.08:Faston_1287-250mils_P5.08mm","www.digikey.com/en/products/detail/keystone-electronics/1287/124268","0.08","1287"
"J9","1","Peltier3+","1287_250mil_Tab_P5.08:Faston_1287-250mils_P5.08mm","www.digikey.com/en/products/detail/keystone-electronics/1287/124268","0.08","1287"
"J10","1","Peltier3-","1287_250mil_Tab_P5.08:Faston_1287-250mils_P5.08mm","www.digikey.com/en/products/detail/keystone-electronics/1287/124268","0.08","1287"
"J11","1","Fan1A","Connector:FanPinHeader_1x04_P2.54mm_Vertical","https://www.digikey.com/en/products/detail/sullins-connector-solutions/SWR25X-NRTC-S04-ST-BA/2769654","0.11","SWR25X-NRTC-S04-ST-BA"
"J12","1","Fan1B","Connector:FanPinHeader_1x04_P2.54mm_Vertical","https://www.digikey.com/en/products/detail/sullins-connector-solutions/SWR25X-NRTC-S04-ST-BA/2769654","0.11","SWR25X-NRTC-S04-ST-BA"
"J13","1","Fan2A","Connector:FanPinHeader_1x04_P2.54mm_Vertical","https://www.digikey.com/en/products/detail/sullins-connector-solutions/SWR25X-NRTC-S04-ST-BA/2769654","0.11","SWR25X-NRTC-S04-ST-BA"
"J14","1","Fan2B","Connector:FanPinHeader_1x04_P2.54mm_Vertical","https://www.digikey.com/en/products/detail/sullins-connector-solutions/SWR25X-NRTC-S04-ST-BA/2769654","0.11","SWR25X-NRTC-S04-ST-BA"
"PS1","1","NID100-5","Librairie de Mano:NID1005","https://www.meanwell.co.uk/power-supplies/dc-dc-power-supplies/nid100-series","9","NID100-5"
"Q1,Q2,Q3","3","DMT6009LCT","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.digikey.com/en/products/detail/diodes-incorporated/DMT6009LCT/6051857","0.64","DMT6009LCT"
"R1,R2,R3","3","100","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","https://www.digikey.com/en/products/detail/yageo/CFR-25JR-52-100R/11950","0.0217","CFR-25JR-52-100R"
"R4,R5,R6,R7","4","10k","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P2.54mm_Vertical","","0",""
"R8,R9,R14,R15,R16,R17","6","100","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P2.54mm_Vertical","https://www.digikey.com/en/products/detail/yageo/CFR-25JR-52-100R/11950","0.0217",""
"R10,R11,R12,R13","4","2k","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P2.54mm_Vertical","","0",""
"R18,R19,R20","3","10k","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P2.54mm_Vertical","","0",""
